ions,radius/pm,备注,,
Tl0+,148,,,
Tl1+,164,,,
Tl3+,102.5,,,
Pb0+,154,,,
Pb2+,133,,,
Pb4+,91.5,,,
Bi0+,152,,,
Bi1+,130,non-6,,
Bi2+,130,non-6,,
Bi3+,117,,,
Bi5+,90,,,
Po0+,146,,,
Po4+,108,,,
Po6+,81,,,
At0+,145,,,
At7+,76,,,
Fr1+,194,,,
Ra2+,162,non-6,,
Ac0+,195,non-6,,
Ac3+,126,,,
Th0+,179,,,
Th4+,108,,,
Pa0+,180,non-6,,
Pa3+,118,,,
Pa4+,104,,,
Pa5+,92,,,
U0+,175,non-6,,
U3+,116.5,,,
U4+,103,,,
U5+,90,,,
U6+,87,,,
Np0+,175,non-6,,
Np2+,124,,,
Np3+,115,,,
Np4+,101,,,
Np5+,89,,,
Np6+,86,,,
Np7+,85,,,
Pu3+,114,,,
Pu4+,100,,,
Pu5+,88,,,
Pu6+,85,,,
Am2+,135,non-6,,
Am3+,111.5,,,
Am4+,99,,,
Cm3+,111,,,
Cm4+,99,,,
Bk3+,110,,,
Bk4+,97,,,
Cf3+,109,,,
Cf4+,96.1,,,
No2+,124,,,
